1|Qazvinian and Radev [169] propose to summarize the reference areas in other articles related to the target paper that has to be summarized.
2|Machine learning methods have been shown to be very effective and successful in single and multi-document summarization, specifically in class specific summarization where classifiers are trained to locate particular type of information such as scientific paper summarization [51, 52, 71] and biographical summaries [62, 66, 81].
3|In previous work, (Qazvinian and Radev 2008), we used citation sentences and employed a network- based clustering algorithm to summaries of individual papers and more general scientific topics, such as Dependency Parsing, and Machine Translation (Radev et al. 2009a, b).
3|Previously, we showed in Qazvinian and Radev (2008) that different citations to the same paper they discuss various contributions of the cited paper.
3|Qazvinian and Radev (2008) proposed a method for summarizing scientific articles by building a similarity network of the sentences that cite it, and then applying network analysis techniques to find a set of sentences that covers as much of the paper factoids as possible.
3|This corpus has already been used in a variety of experiments (Qazvinian and Radev 2008; Hall et al. 2008; Councill et al. 2008; Qazvinian et al. 2010). 
4|In addition to citation function classification, automated research on citation content includes automatic abstraction, information retrieval, citation context recognition, etc.
5|Following the idea of generating summaries from this input information, in Qazvinian and Radev (2008) citations are analysed to produce a single-document summary from scientific articles.
6|Numerous summarization studies (Abu-Jbara & Radev, 2011; Elkiss et al., 2008; Kupiec, Pedersen, & Chen, 1995; Mei & Zhai, 2008; Mohammad et al., 2009; Nanba & Okumura, 2004; Qazvinian, Hassanabadi, & Halavati, 2008; Qazvinian & Radev, 2008, 2010; Teufel & Moens, 2002) have been applied to the scientific literature.
6|Although earlier studies (Nanba et al., 2000; Nanba & Okumura, 1999) analyzed citation sentences using predefined phrase-based rules to build survey generation tools, Qazvinian and Radev (2008) treated citation sentences as resources for fact summarization.
6|Other researchers (Abu-Jbara & Radev, 2011; Qazvinian et al., 2008) have proposed using LexRank (a network- based ranking algorithm equivalent to PageRank) to identify the most salient sentences within clusters.
7|Citations have generally proven useful for summarization (Abu-Jbara & Radev, 2011; Kaplan, Iida, & Tokunaga, 2009; Nanba & Okumura, 1999; Qazvinian & Radev, 2008, 2010; Taheriyan, 2011)
8|There has been previous work done on citation- based summarization (Nanba et al., 2000; Elkiss et al., 2008; Qazvinian and Radev, 2008; Mei and Zhai, 2008; Mohammad et al., 2009).
8|Following Qazvinian and Radev (2008), we build a cosine similarity graph out of the sentences of each category.
8|Produced using Qazvinian and Radev (2008) system
8|One summary was produced using our system and the other was produced using Qazvinian and Radev (2008) system.
8|The sum mary that our system produced, the human summary, and a summary produced by Qazvinian and Radev (2008) summarizer (the best baseline - after our system and its variations - in terms of extraction quality as shown in the previous subsection.)
8|The forth baseline is Qazvinian and Radev (2008) citation-based summarizer (QR08) in which the citation sentences are first clustered then the sentences within each cluster are ranked using LexRank.
8|Qazvinian and Radev (2008) proposed a method for summarizing scientific articles by building a similarity network of the citation sentences that cite the target paper, and then applying network analysis techniques to find a set of sentences that covers as much of the summarized paper facts as possible.
9|More recently, Qazvinian and Radev (2008) argue that citation texts are useful in creating a summary of the important contributions of a research paper.
9|Citation texts have also been used to create summaries of single scientific articles in Qazvinian and Radev (2008) and Mei and Zhai (2008).
9|Two clustering methods proposed by Qazvinian and Radev (2008)—C-RR and C-LexRank—were used to create summaries.
9|This evaluation approach is similar to the one adopted by Qazvinian and Radev (2008), but adapted here for use in the multi-document case.
10|For example, citation-based summarization systems (Qazvinian and Radev, 2008; Qazvinian et al., 2010; Abu- Jbara and Radev, 2011) and survey generation systems (Mohammad et al., 2009; Qazvinian et al., 2013) can benefit from citation purpose and polarity analysis to improve paper and content selection.
